sentence,condition,cleaned_sentence,label
"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",NR,"through his son timothy bush, jr., who was also a blacksmith, descended two american presidents -george h. w. bush and george w. bush.",0
"Kerouac's spontaneous, confessional language style inspired other writers, including Tom Robbins, Richard Brautigan, Hunter S. Thompson, Ken Kesey, and Bob Dylan.",NR,"kerouac's spontaneous, confessional language style inspired other writers, including tom robbins, richard brautigan, hunter s. thompson, ken kesey, and bob dylan.",0
Lawford later admitted the most terrifying experience of his career was the first musical number he performed.,NR,lawford later admitted the most terrifying experience of his career was the first musical number he performed.,0
"They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.",NR,"they had four children: frederick dent grant, ulysses s. (buck) grant, jr., ellen (nellie) grant, and jesse root grant.",0
He received his bachelor's degree in 1965 and master's degree in political science in 1966 both from the University of Wyoming.,NR,he received his bachelor's degree in 1965 and master's degree in political science in 1966 both from the university of wyoming.,0
It would run 11 years on television.,NR,it would run 11 years on television.,0
"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",NR,"he left home during the war of 1812 amd married in rochester on november 8, 1821, harriet smith the daughter of dr. sanford smith and priscilla whipple smith.",0
"Howard was born at Barlow Bend, Alabama (""three wagon greasin's from Mobile"").",NR,"howard was born at barlow bend, alabama (""three wagon greasin's from mobile"").",0
She was at one time a co-host on CNN's Crossfire.,NR,she was at one time a co-host on cnn's crossfire.,0
"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",NR,"he is assumed to be the son of richard bush and mary fairbanks both of dedham, massachusetts.",0
"He was born in Overisel, Michigan.",NR,"he was born in overisel, michigan.",0
"However, a police arrest card similar to the one that haunted President George W. Bush and maintained by the Rock Springs Police Department shows that Cheney was fined $100 for his second DWI conviction.",NR,"however, a police arrest card similar to the one that haunted president george w. bush and maintained by the rock springs police department shows that cheney was fined $100 for his second dwi conviction.",0
"Besides his film roles, he appeared on the television screen often later is his career.",NR,"besides his film roles, he appeared on the television screen often later is his career.",0
Clooney was Ferrer's third wife.,NR,clooney was ferrer's third wife.,0
"After the show was cancelled, he played a handyman on the series The Facts of Life.",NR,"after the show was cancelled, he played a handyman on the series the facts of life.",0
"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.",NR,"he took a job in real estate with armando codina, a 32-year-old cuban immigrant and self-made american millionaire.",0
"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",NR,"he became submissive to upstart johann friedrich struensee, who rose steadily in power in the late 1760s.",0
"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",NR,"her position was a difficult one, as charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",0
"For his contribution to the television industry, J. Carrol Naish has a star on the Hollywood Walk of Fame at 6145 Hollywood Blvd.",NR,"for his contribution to the television industry, j. carrol naish has a star on the hollywood walk of fame at 6145 hollywood blvd.",0
"Page also acted in several episodes of other television shows, including Amen and Martin.",NR,"page also acted in several episodes of other television shows, including amen and martin.",0
He graduated in 1983 with a bachelor's degree in history.,NR,he graduated in 1983 with a bachelor's degree in history.,0
"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",NR,"in the years between the wars, henry ford supported adolf hitler's nazi regime.",0
"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",NR,"he was the son of frederick v, king of denmark, and his first consort louisa, daughter of george ii of great britain.",0
"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",NR,"the family moved around 1810 to springport, in cayuga county in the rochester, new york area.",0
"Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",NR,"rosemary clooney was married three times, twice to jose ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor miguel ferrer, born in 1955, and gabriel ferrer, born 1956, who married debby boone, and once to dante depaolo (whom she married in 1997).",0
"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",NR,"caroline mathilde, retaining her title but not her children, eventually left denmark in exile and passed her remaining days in neighbouring celle.",0
"As their desire for wealth grows, they discard spiritual and creative values.",NR,"as their desire for wealth grows, they discard spiritual and creative values.",0
"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",NR,"her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",0
In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,NR,in 1950 ferrer won an academy award for his portrayal of cyrano de bergerac in the 1950 film of that name.,0
"On January 1, 1919, after unsuccessfully seeking a seat in the United States Senate, [1] Henry Ford turned the presidency of Ford Motor Company over to his son Edsel, although still maintaining a firm hand in its management, few company decisions under Edsel's presidency were made without approval by Henry, and those few that were, Henry often reversed.",NR,"on january 1, 1919, after unsuccessfully seeking a seat in the united states senate, [1] henry ford turned the presidency of ford motor company over to his son edsel, although still maintaining a firm hand in its management, few company decisions under edsel's presidency were made without approval by henry, and those few that were, henry often reversed.",0
She was equally good on ballads and rhythm numbers.,NR,she was equally good on ballads and rhythm numbers.,0
In 1955 Ferrer directed himself in The Shrike.,NR,in 1955 ferrer directed himself in the shrike.,0
"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",NR,"in 1986 she sang a duet with wild man fischer on ""it's a hard business"".",0
Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,NR,other accounts of this classic hollywood tale substitute actor peter lorre in the place of walsh.,0
"His schooling ended at ten and at 12 he became an apprentice to his brother James, a printer who published the New England Courant.",NR,"his schooling ended at ten and at 12 he became an apprentice to his brother james, a printer who published the new england courant.",0
"She died in Poughkeepsie, New York of heart failure, which was chiefly due to her diabetes.",NR,"she died in poughkeepsie, new york of heart failure, which was chiefly due to her diabetes.",0
"Michael McManus (born February 5, 1959) is a syndicated columnist who wrote Ethics & Religion.",NR,"michael mcmanus (born february 5, 1959) is a syndicated columnist who wrote ethics & religion.",0
"The show was responsible for the phrases 'Say the secret woid [word] and divide $100' (that is, each contestant would get $50).",NR,"the show was responsible for the phrases 'say the secret woid [word] and divide $100' (that is, each contestant would get $50).",0
"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",NR,"he was the best-known of modern brazilian writers, with his work translated into some 30 languages and popularized in film, notably dona flor and her two husbands in 1978.",0
He is a sharp shooter from the three point range and also a very accurate free throw shooter.,NR,he is a sharp shooter from the three point range and also a very accurate free throw shooter.,0
"His mother, Abiah Folger, was born in Nantucket, Massachusetts on August 15, 1667, to Peter Folger, a miller and schoolteacher, and his wife Mary Morrill a former indentured servant.",NR,"his mother, abiah folger, was born in nantucket, massachusetts on august 15, 1667, to peter folger, a miller and schoolteacher, and his wife mary morrill a former indentured servant.",0
"At the time, it was not possible for the authorities in each area to link the two convictions which would have resulted in the second offence being viewed much more seriously.",NR,"at the time, it was not possible for the authorities in each area to link the two convictions which would have resulted in the second offence being viewed much more seriously.",0
By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,NR,by training he was a blacksmith but when the american revolution broke out militia captain bush led a company of soldiers for the continental army.,0
The cgs unit of electric charge has been named after him: one franklin (Fr) is equal to one statcoulomb.,NR,the cgs unit of electric charge has been named after him: one franklin (fr) is equal to one statcoulomb.,0
"Symptoms during this time included paranoia, self-mutilation and hallucinations.",NR,"symptoms during this time included paranoia, self-mutilation and hallucinations.",0
"His dying words were 'Die? I should say not, dear fellow'.",NR,"his dying words were 'die? i should say not, dear fellow'.",0
"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",NR,"he was reelected twice, but had a mixed voting record, often diverging from president harry s. truman and the rest of the democratic party.",0
